"	sữa th true milk","5","6","2","9","15","5","7","6","8","5","5","15","26","10","6","33","5","17","5","7","9","14","8","7","10","13","8","5","21","3","1","5","8","11","13","4","4","1","32","46","9","8","12","4","32","17","18","8","5","2","3","9","8","4","5","2","1","6","5","3","6","5","2","0","6","11","4","4","8","25","16","11","4","13","4","8","8","2","13","2","12","10","19","4","21","9","5","3","4","1","2"
"	tôm hùm","12","22","51","14","3","5","3","1","12","10","7","10","14","4","7","8","13","3","6","10","12","1","9","1","5","7","2","3","3","9","2","4","7","4","0","4","1","3","3","7","0","3","4","1","4","12","8","6","6","16","7","2","90","118","23","25","5","6","11","16","2","8","2","3","4","2","0","10","0","5","1","6","5","4","9","2","13","2","8","1","15","5","3","4","3","3","15","7","0","7","0"
"	coop mart","18","11","4","16","5","13","22","2","6","1","1","21","9","25","14","1","10","7","6","7","3","4","7","3","8","4","12","8","13","5","4","5","4","7","10","4","0","1","20","48","0","3","14","17","3","2","3","1","9","21","6","5","6","5","2","4","11","12","12","7","7","13","12","4","17","11","3","16","6","9","6","4","5","14","1","5","11","9","6","4","12","14","17","19","25","11","13","12","8","5","1"
"	sài gòn lager","7","21","11","25","13","2","27","8","27","15","44","28","47","76","21","15","19","25","37","25","60","11","13","9","11","13","10","7","1","0","0","0","6","2","12","2","8","11","10","3","4","6","1","1","1","7","3","7","0","0","4","1","1","0","0","1","1","0","16","3","2","0","15","0","5","2","3","5","11","5","2","1","0","0","0","1","6","0","0","0","6","0","4","0","0","0","0","0","0","0","0"
"	ức gà phi lê","4","10","8","15","1","17","10","6","5","10","6","12","9","8","5","8","16","22","6","9","21","8","10","16","5","1","17","14","6","22","21","11","7","15","18","6","16","32","12","1","12","11","2","4","5","17","5","7","9","13","5","9","2","7","3","7","2","9","6","11","4","9","8","8","6","15","7","4","4","10","2","7","3","5","7","2","2","4","8","9","10","5","4","11","28","7","2","0","13","5","3"
"	bia tiger thùng 24 lon","24","15","15","16","14","19","10","17","33","27","30","28","23","41","42","8","21","32","34","14","39","34","14","0","13","35","18","26","39","10","7","9","4","3","1","0","0","2","5","0","1","1","0","0","0","0","3","0","0","0","6","1","2","5","0","2","0","0","0","0","0","0","0","11","2","5","0","0","0","2","0","2","4","8","5","1","3","0","2","2","1","0","0","0","1","0","0","0","0","9","0"
"	trứng","6","2","1","6","4","4","2","4","1","1","2","14","2","6","6","1","10","4","1","4","1","0","5","2","2","10","3","6","1","0","1","3","11","6","27","12","39","6","10","26","25","13","44","7","2","10","19","5","9","8","7","8","12","33","13","15","4","2","3","7","2","6","4","0","1","4","5","7","23","3","5","11","17","2","22","27","5","9","8","10","9","3","7","31","21","7","9","10","6","22","0"
"	fami","6","3","8","7","4","1","0","0","4","4","4","5","30","4","26","15","2","13","10","5","3","20","5","2","1","4","11","1","2","6","3","1","3","0","12","25","0","34","11","6","19","7","2","7","3","54","27","1","6","1","0","2","2","47","8","0","7","3","1","8","12","3","1","2","5","23","17","3","2","2","15","30","21","3","8","11","7","8","3","21","24","11","4","4","14","3","0","0","2","4","8"
"	pizza","5","10","9","3","8","0","7","2","11","0","21","11","10","4","11","8","15","5","15","10","4","11","1","1","15","29","19","4","13","5","5","7","7","15","10","28","13","1","7","9","4","8","5","9","8","9","3","13","23","7","9","17","3","11","6","3","14","3","2","3","0","7","9","9","2","8","11","3","21","9","21","11","3","2","9","0","15","17","9","17","8","19","4","6","3","5","7","4","2","3","1"
"	bigc","24","22","23","44","17","4","7","4","15","8","5","8","6","7","2","7","4","7","7","3","13","9","4","15","5","4","5","6","3","2","4","1","10","3","4","4","9","6","0","4","3","3","26","18","15","16","7","14","3","9","11","12","4","6","15","6","1","4","3","0","0","0","1","3","5","9","13","19","11","15","15","13","11","6","11","12","8","11","4","10","8","14","1","8","4","1","13","7","7","4","2"
"	bánh","4","5","9","18","5","3","8","0","15","17","11","12","16","3","17","4","14","1","3","9","25","2","1","7","14","1","10","3","1","11","2","1","9","24","2","6","2","1","11","3","13","2","1","18","1","7","8","4","21","3","2","0","11","2","1","4","6","7","21","3","1","7","3","0","9","2","12","3","27","9","17","26","14","8","3","12","2","11","11","5","32","9","1","6","18","15","8","13","5","18","1"
